engName1,engName2,rusName1,rusName2,name,numberCode,group.id,unit_type_id
,,"10^3 пач","ТЫС ПАЧ","Тысяча пачек",729,7,2
,,%,ПРОЦ,Процент,744,7,2
,,промилле,ПРОМИЛЛЕ,"Промилле (0,1 процента)",746,7,2
,,"10^3 рул","ТЫС РУЛ","Тысяча рулонов",751,7,2
,,"10^3 стан","ТЫС СТАН","Тысяча станов",761,7,2
,,станц,СТАНЦ,Станция,762,7,2
,,"10^3 тюбик","ТЫС ТЮБИК","Тысяча тюбиков",775,7,2
,,"10^3 усл.туб","ТЫС УСЛ ТУБ","Тысяча условных тубов",776,7,2
,,"10^6 упак","МЛН УПАК","Миллион упаковок",779,7,2
,,"10^3 упак","ТЫС УПАК","Тысяча упаковок",782,7,2
,,чел,ЧЕЛ,Человек,792,7,2
,,"10^3 чел","ТЫС ЧЕЛ","Тысяча человек",793,7,2
,,"10^6 чел","МЛН ЧЕЛ","Миллион человек",794,7,2
,,"10^6 экз","МЛН ЭКЗ","Миллион экземпляров",808,7,2
,,яч,ЯЧ,Ячейка,810,7,2
,,ящ,ЯЩ,Ящик,812,7,2
,,гол,ГОЛ,Голова,836,7,2
,,"10^3 пар","ТЫС ПАР","Тысяча пар",837,7,2
,,"10^6 пар","МЛН ПАР","Миллион пар",838,7,2
,,компл,КОМПЛ,Комплект,839,7,2
,,секц,СЕКЦ,Секция,840,7,2
,,бут,БУТ,Бутылка,868,7,2
,,"10^3 бут","ТЫС БУТ","Тысяча бутылок",869,7,2
,,ампул,АМПУЛ,Ампула,870,7,2
,,"10^3 ампул","ТЫС АМПУЛ","Тысяча ампул",871,7,2
,,флак,ФЛАК,Флакон,872,7,2
,,"10^3 флак","ТЫС ФЛАК","Тысяча флаконов",873,7,2
,,"10^3 туб","ТЫС ТУБ","Тысяча тубов",874,7,2
,,"10^3 кор","ТЫС КОР","Тысяча коробок",875,7,2
,,"усл. ед","УСЛ ЕД","Условная единица",876,7,2
,,"10^3 усл. ед","ТЫС УСЛ ЕД","Тысяча условных единиц",877,7,2
,,"10^6 усл. ед","МЛН УСЛ ЕД","Миллион условных единиц",878,7,2
,,"усл. шт","УСЛ ШТ","Условная штука",879,7,2
,,"10^3 усл. шт","ТЫС УСЛ ШТ","Тысяча условных штук",880,7,2
,,"усл. банк","УСЛ БАНК","Условная банка",881,7,2
,,"10^3 усл. банк","ТЫС УСЛ БАНК","Тысяча условных банок",882,7,2
,,"10^6 усл. банк","МЛН УСЛ БАНК","Миллион условных банок",883,7,2
,,"усл. кус","УСЛ КУС","Условный кусок",884,7,2
,,"10^3 усл. кус","ТЫС УСЛ КУС","Тысяча условных кусков",885,7,2
,,"10^6 усл. кус","МЛН УСЛ КУС","Миллион условных кусков",886,7,2
,,"усл. ящ","УСЛ ЯЩ","Условный ящик",887,7,2
,,"10^3 усл. ящ","ТЫС УСЛ ЯЩ","Тысяча условных ящиков",888,7,2
,,"усл. кат","УСЛ КАТ","Условная катушка",889,7,2
,,"10^3 усл. кат","ТЫС УСЛ КАТ","Тысяча условных катушек",890,7,2
,,"усл. плит","УСЛ ПЛИТ","Условная плитка",891,7,2
,,"10^3 усл. плит","ТЫС УСЛ ПЛИТ","Тысяча условных плиток",892,7,2
,,"усл. кирп","УСЛ КИРП","Условный кирпич",893,7,2
,,"10^3 усл. кирп","ТЫС УСЛ КИРП","Тысяча условных кирпичей",894,7,2
,,"10^6 усл. кирп","МЛН УСЛ КИРП","Миллион условных кирпичей",895,7,2
,,семей,СЕМЕЙ,Семья,896,7,2
,,"10^3 семей","ТЫС СЕМЕЙ","Тысяча семей",897,7,2
,,"10^6 семей","МЛН СЕМЕЙ","Миллион семей",898,7,2
,,домхоз,ДОМХОЗ,Домохозяйство,899,7,2
,,"10^3 домхоз","ТЫС ДОМХОЗ","Тысяча домохозяйств",900,7,2
,,"10^6 домхоз","МЛН ДОМХОЗ","Миллион домохозяйств",901,7,2
,,"учен. мест","УЧЕН МЕСТ","Ученическое место",902,7,2
,,"10^3 учен. мест","ТЫС УЧЕН МЕСТ","Тысяча ученических мест",903,7,2
,,"раб. мест","РАБ МЕСТ","Рабочее место",904,7,2
,,"10^3 раб. мест","ТЫС РАБ МЕСТ","Тысяча рабочих мест",905,7,2
,,"посад. мест","ПОСАД МЕСТ","Посадочное место",906,7,2
,,"10^3 посад. мест","ТЫС ПОСАД МЕСТ","Тысяча посадочных мест",907,7,2
,,ном,НОМ,Номер,908,7,2
,,кварт,КВАРТ,Квартира,909,7,2
,,"10^3 кварт","ТЫС КВАРТ","Тысяча квартир",910,7,2
,,коек,КОЕК,Койка,911,7,2
,,"10^3 коек","ТЫС КОЕК","Тысяча коек",912,7,2
,,"том книжн. фонд","ТОМ КНИЖН ФОНД","Том книжного фонда",913,7,2
,,"10^3 том. книжн. фонд","ТЫС ТОМ КНИЖН ФОНД","Тысяча томов книжного фонда",914,7,2
,,"усл. рем","УСЛ РЕМ","Условный ремонт",915,7,2
,,"усл. рем/год","УСЛ РЕМ/ГОД","Условный ремонт в год",916,7,2
,,смен,СМЕН,Смена,917,7,2
,,"л. авт","ЛИСТ АВТ","Лист авторский",918,7,2
,,"л. печ","ЛИСТ ПЕЧ","Лист печатный",920,7,2
,,"л. уч.-изд","ЛИСТ УЧ.ИЗД","Лист учетно-издательский",921,7,2
,,знак,ЗНАК,Знак,922,7,2
,,слово,СЛОВО,Слово,923,7,2
,,символ,СИМВОЛ,Символ,924,7,2
,,"усл. труб","УСЛ ТРУБ","Условная труба",925,7,2
,,"10^3 пласт","ТЫС ПЛАСТ","Тысяча пластин",930,7,2
,,"10^6 доз","МЛН ДОЗ","Миллион доз",937,7,2
,,"10^6 лист.оттиск","МЛН ЛИСТ.ОТТИСК","Миллион листов-оттисков",949,7,2
,,"ваг (маш).дн","ВАГ (МАШ).ДН",Вагоно(машино)-день,950,7,2
,,"10^3 ваг (маш).ч","ТЫС ВАГ (МАШ).Ч","Тысяча вагоно-(машино)-часов",951,7,2
,,"10^3 ваг (маш).км","ТЫС ВАГ (МАШ).КМ","Тысяча вагоно-(машино)-километров",952,7,2
,,"10 ^3мест.км","ТЫС МЕСТ.КМ","Тысяча место-километров",953,7,2
,,ваг.сут,ВАГ.СУТ,Вагоно-сутки,954,7,2
,,"10^3 поезд.ч","ТЫС ПОЕЗД.Ч","Тысяча поездо-часов",955,7,2
,,"10^3 поезд.км","ТЫС ПОЕЗД.КМ","Тысяча поездо-километров",956,7,2
,,"10^3 т.миль","ТЫС Т.МИЛЬ","Тысяча тонно-миль",957,7,2
,,"10^3 пасс.миль","ТЫС ПАСС.МИЛЬ","Тысяча пассажиро-миль",958,7,2
,,автомоб.дн,АВТОМОБ.ДН,Автомобиле-день,959,7,2
,,"10^3 автомоб.т.дн","ТЫС АВТОМОБ.Т.ДН","Тысяча автомобиле-тонно-дней",960,7,2
,,"10^3 автомоб.ч","ТЫС АВТОМОБ.Ч","Тысяча автомобиле-часов",961,7,2
,,"10^3 автомоб.мест. дн","ТЫС АВТОМОБ.МЕСТ. ДН","Тысяча автомобиле-место-дней",962,7,2
,,привед.ч,ПРИВЕД.Ч,"Приведенный час",963,7,2
,,самолет.км,САМОЛЕТ.КМ,Самолето-километр,964,7,2
,,"10^3 км","ТЫС КМ","Тысяча километров",965,7,2
,,"10^3 тоннаж. рейс","ТЫС ТОННАЖ. РЕЙС","Тысяча тоннаже-рейсов",966,7,2
,,"10^6 т. миль","МЛН Т. МИЛЬ","Миллион тонно-миль",967,7,2
,,"10^6 пасс. миль","МЛН ПАСС. МИЛЬ","Миллион пассажиро-миль",968,7,2
,,"10^6 тоннаж. миль","МЛН ТОННАЖ. МИЛЬ","Миллион тоннаже-миль",969,7,2
,,"10^6 пасс. мест. миль","МЛН ПАСС. МЕСТ. МИЛЬ","Миллион пассажиро-место-миль",970,7,2
,,"корм. дн","КОРМ. ДН",Кормо-день,971,7,2
,,"ц корм ед","Ц КОРМ ЕД","Центнер кормовых единиц",972,7,2
,,"10^3 автомоб. км","ТЫС АВТОМОБ. КМ","Тысяча автомобиле-километров",973,7,2
,,"10^3 тоннаж. сут","ТЫС ТОННАЖ. СУТ","Тысяча тоннаже-сут",974,7,2
,,"суго. сут.","СУГО. СУТ",Суго-сутки,975,7,2
,,"штук в 20-футовом эквиваленте","ШТ В 20 ФУТ ЭКВИВ","Штук в 20-футовом эквиваленте (ДФЭ)",976,7,2
,,"канал. км","КАНАЛ. КМ",Канало-километр,977,7,2
,,"канал. конц","КАНАЛ. КОНЦ",Канало-концы,978,7,2
,,"10^3 экз","ТЫС ЭКЗ","Тысяча экземпляров",979,7,2
,,"10^3 доллар","ТЫС ДОЛЛАР","Тысяча долларов",980,7,2
,,"10^3 корм ед","ТЫС Т КОРМ ЕД","Тысяча тонн кормовых единиц",981,7,2
,,"10^6 корм ед","МЛН Т КОРМ ЕД","Миллион тонн кормовых единиц",982,7,2
,,суд.сут,СУД.СУТ,Судо-сутки,983,7,2
hm,HMT,NULL,NULL,Гектометр,017,1,3
mile,SMI,NULL,NULL,"Миля (уставная) (1609,344 м)",045,1,3
acre,ACR,NULL,NULL,"Акр (4840 квадратных ярдов)",077,2,3
mile2,MIK,NULL,NULL,"Квадратная миля",079,2,3
"fl oz (UK)",OZI,NULL,NULL,"Жидкостная унция СК (28,413 см3)",135,3,3
"gill (UK)",GII,NULL,NULL,"Джилл СК (0,142065 дм3)",136,3,3
"pt (UK)",PTI,NULL,NULL,"Пинта СК (0,568262 дм3)",137,3,3
"qt (UK)",QTI,NULL,NULL,"Кварта СК (1,136523 дм3)",138,3,3
"gal (UK)",GLI,NULL,NULL,"Галлон СК (4,546092 дм3)",139,3,3
"bu (UK)",BUI,NULL,NULL,"Бушель СК (36,36874 дм3)",140,3,3
"fl oz (US)",OZA,NULL,NULL,"Жидкостная унция США (29,5735 см3)",141,3,3
"gill (US)",GIA,NULL,NULL,"Джилл США (11,8294 см3)",142,3,3
"liq pt (US)",PTL,NULL,NULL,"Жидкостная пинта США (0,473176 дм3)",143,3,3
"liq qt (US)",QTL,NULL,NULL,"Жидкостная кварта США (0,946353 дм3)",144,3,3
